Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
4,350	-6,786	-43,401	85,923	-0,1620	-1,036	2,051	4,350	-12,244	13,839	144,356	-0,2923	0,330	3,446	4,350	-1,748	-47,501	28,903	-0,0417	-1,134	0,690
4,400	-8,847	-38,500	110,270	-0,2112	-0,919	2,632	4,400	-11,373	20,923	134,932	-0,2715	0,500	3,221	4,400	-4,092	-45,349	58,120	-0,0977	-1,083	1,387
4,450	-10,636	-32,374	135,403	-0,2539	-0,773	3,233	4,450	-10,152	27,332	116,239	-0,2424	0,653	2,775	4,450	-6,283	-41,689	85,451	-0,1500	-0,995	2,040
4,500	-12,084	-24,960	156,766	-0,2885	-0,596	3,743	4,500	-8,639	32,547	93,934	-0,2062	0,777	2,242	4,500	-8,261	-36,804	110,113	-0,1972	-0,879	2,629
4,550	-13,132	-16,698	169,175	-0,3135	-0,399	4,039	4,550	-6,897	36,725	73,356	-0,1647	0,877	1,751	4,550	-9,964	-30,678	134,146	-0,2379	-0,732	3,203
4,600	-13,754	-8,042	170,274	-0,3283	-0,192	4,065	4,600	-4,967	39,883	50,737	-0,1186	0,952	1,211	4,600	-11,329	-23,389	153,310	-0,2704	-0,558	3,660
4,650	-13,936	0,330	160,221	-0,3327	0,008	3,825	4,650	-2,909	41,799	26,704	-0,0694	0,998	0,638	4,650	-12,302	-15,347	164,934	-0,2937	-0,366	3,937
4,700	-13,721	7,980	148,126	-0,3276	0,191	3,536	4,700	-0,787	42,553	5,184	-0,0188	1,016	0,124	4,700	-12,863	-6,896	167,918	-0,3071	-0,165	4,009
4,750	-13,138	15,142	141,058	-0,3136	0,361	3,367	4,750	1,346	42,317	-16,336	0,0321	1,010	-0,390	4,750	-12,992	1,445	162,892	-0,3102	0,035	3,889
4,800	-12,207	22,085	143,414	-0,2914	0,527	3,424	4,800	3,445	40,919	-40,055	0,0822	0,977	-0,956	4,800	-12,719	9,393	155,823	-0,3036	0,224	3,720
4,850	-10,930	29,484	141,215	-0,2609	0,704	3,371	4,850	5,438	38,312	-61,261	0,1298	0,915	-1,462	4,850	-12,053	17,027	149,540	-0,2877	0,406	3,570
4,900	-9,258	36,207	114,982	-0,2210	0,864	2,745	4,900	7,276	34,793	-79,325	0,1737	0,831	-1,894	4,900	-11,016	24,347	139,016	-0,2630	0,581	3,319
4,950	-7,309	40,982	81,839	-0,1745	0,978	1,954	4,950	8,917	30,379	-97,547	0,2129	0,725	-2,329	4,950	-9,618	30,929	119,224	-0,2296	0,738	2,846
5,000	-5,160	44,391	54,035	-0,1232	1,060	1,290	5,000	10,314	25,039	-114,197	0,2462	0,598	-2,726	5,000	-7,923	36,270	95,819	-0,1891	0,866	2,287
5,050	-2,870	46,386	25,761	-0,0685	1,107	0,615	5,050	11,421	18,960	-127,392	0,2727	0,453	-3,041	5,050	-5,991	40,511	74,770	-0,1430	0,967	1,785
5,100	-0,522	46,967	-0,628	-0,0124	1,121	-0,015	5,100	12,210	12,299	-136,816	0,2915	0,294	-3,266	5,100	-3,872	43,747	51,208	-0,0924	1,044	1,223
5,150	1,827	46,323	-27,646	0,0436	1,106	-0,660	5,150	12,651	5,278	-142,157	0,3020	0,126	-3,394	5,150	-1,616	45,632	24,190	-0,0386	1,089	0,578
5,200	4,111	44,202	-54,664	0,0981	1,055	-1,305	5,200	12,738	-1,916	-143,414	0,3041	-0,046	-3,424	5,200	0,691	46,166	-1,571	0,0165	1,102	-0,038
5,250	6,247	40,856	-76,498	0,1491	0,975	-1,826	5,250	12,460	-9,064	-140,115	0,2975	-0,216	-3,345	5,250	3,000	45,475	-28,746	0,0716	1,086	-0,686
5,300	8,196	36,552	-97,075	0,1957	0,873	-2,318	5,300	11,831	-15,928	-132,889	0,2825	-0,380	-3,173	5,300	5,239	43,291	-55,763	0,1251	1,033	-1,331
5,350	9,902	31,149	-116,553	0,2364	0,744	-2,782	5,350	10,867	-22,352	-122,208	0,2594	-0,534	-2,918	5,350	7,329	39,898	-77,912	0,1750	0,953	-1,860
5,400	11,311	24,897	-130,847	0,2700	0,594	-3,124	5,400	9,596	-28,149	-106,814	0,2291	-0,672	-2,550	5,400	9,228	35,500	-98,803	0,2203	0,848	-2,359
5,450	12,392	18,064	-141,372	0,2958	0,431	-3,375	5,450	8,052	-33,034	-86,551	0,1922	-0,789	-2,066	5,450	10,879	30,018	-118,909	0,2597	0,717	-2,839
5,500	13,118	10,760	-148,283	0,3132	0,257	-3,540	5,500	6,293	-36,804	-65,502	0,1502	-0,879	-1,564	5,500	12,230	23,609	-134,146	0,2920	0,564	-3,203
5,550	13,468	3,236	-150,797	0,3215	0,077	-3,600	5,550	4,372	-39,584	-43,354	0,1044	-0,945	-1,035	5,550	13,240	16,603	-144,670	0,3161	0,396	-3,454
5,600	13,441	-4,320	-149,383	0,3209	-0,103	-3,566	5,600	2,334	-41,139	-16,179	0,0557	-0,982	-0,386	5,600	13,891	9,142	-150,797	0,3316	0,218	-3,600
5,650	13,036	-11,702	-142,785	0,3112	-0,279	-3,409	5,650	0,258	-41,202	10,681	0,0062	-0,984	0,255	5,650	14,154	1,524	-153,153	0,3379	0,036	-3,656
5,700	12,271	-18,598	-132,261	0,2930	-0,444	-3,157	5,700	-1,786	-40,071	33,772	-0,0426	-0,957	0,806	5,700	14,043	-6,173	-152,839	0,3353	-0,147	-3,649
5,750	11,176	-24,929	-119,852	0,2668	-0,595	-2,861	5,750	-3,749	-37,825	56,863	-0,0895	-0,903	1,358	5,750	13,537	-13,760	-146,870	0,3232	-0,329	-3,506
5,800	9,778	-30,583	-103,830	0,2334	-0,730	-2,479	5,800	-5,568	-34,385	80,111	-0,1329	-0,821	1,912	5,800	12,667	-20,860	-136,502	0,3024	-0,498	-3,259
5,850	8,118	-35,312	-83,252	0,1938	-0,843	-1,988	5,850	-7,188	-29,814	99,431	-0,1716	-0,712	2,374	5,850	11,451	-27,410	-123,308	0,2734	-0,654	-2,944
5,900	6,247	-38,909	-62,047	0,1491	-0,929	-1,481	5,900	-8,550	-24,442	113,412	-0,2041	-0,584	2,708	5,900	9,926	-33,191	-105,243	0,2370	-0,792	-2,513
5,950	4,227	-41,516	-40,841	0,1009	-0,991	-0,975	5,950	-9,632	-18,473	124,564	-0,2299	-0,441	2,974	5,950	8,132	-37,935	-84,352	0,1941	-0,906	-2,014
6,000	2,095	-42,993	-14,923	0,0500	-1,026	-0,356	6,000	-10,397	-11,985	131,947	-0,2482	-0,286	3,150	6,000	6,132	-41,626	-63,931	0,1464	-0,994	-1,526
6,050	-0,072	-43,008	11,153	-0,0017	-1,027	0,266	6,050	-10,831	-5,278	132,104	-0,2586	-0,126	3,154	6,050	3,969	-44,328	-39,741	0,0948	-1,058	-0,949
6,100	-2,205	-41,877	34,400	-0,0526	-1,000	0,821	6,100	-10,925	1,225	128,648	-0,2608	0,029	3,071	6,100	1,700	-45,600	-11,781	0,0406	-1,089	-0,281
6,150	-4,260	-39,568	59,533	-0,1017	-0,945	1,421	6,150	-10,708	7,587	125,350	-0,2556	0,181	2,993	6,150	-0,591	-45,506	14,137	-0,0141	-1,086	0,338
