Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
4,040	6,263	-7,226	-14,726	0,1495	-0,173	-0,352
4,060	6,115	-7,501	-13,744	0,1460	-0,179	-0,328
4,080	5,963	-7,775	-13,744	0,1424	-0,186	-0,328
4,100	5,804	-8,050	-11,781	0,1386	-0,192	-0,281
4,120	5,641	-8,247	-9,817	0,1347	-0,197	-0,234
4,140	5,474	-8,443	-10,799	0,1307	-0,202	-0,258
4,160	5,303	-8,679	-9,817	0,1266	-0,207	-0,234
4,180	5,127	-8,836	-7,854	0,1224	-0,211	-0,187
4,200	4,950	-8,993	-7,854	0,1182	-0,215	-0,188
4,220	4,767	-9,150	-6,872	0,1138	-0,218	-0,164
4,240	4,584	-9,268	-4,909	0,1094	-0,221	-0,117
4,260	4,397	-9,346	-2,945	0,1050	-0,223	-0,070
4,280	4,210	-9,386	-2,945	0,1005	-0,224	-0,070
4,300	4,021	-9,464	-2,945	0,0960	-0,226	-0,070
4,320	3,831	-9,503	-1,963	0,0915	-0,227	-0,047
4,340	3,641	-9,543	-1,030E-11	0,0869	-0,228	-2,519E-13
4,360	3,449	-9,503	1,963	0,0824	-0,227	0,047
4,380	3,261	-9,464	0,982	0,0779	-0,226	0,023
4,400	3,071	-9,464	2,945	0,0733	-0,226	0,070
4,420	2,882	-9,346	4,909	0,0688	-0,223	0,117
4,440	2,697	-9,268	3,927	0,0644	-0,221	0,094
4,460	2,512	-9,189	6,872	0,0600	-0,219	0,164
4,480	2,329	-8,993	8,836	0,0556	-0,215	0,211
4,500	2,152	-8,836	5,890	0,0514	-0,211	0,141
4,520	1,976	-8,757	6,872	0,0472	-0,209	0,164
4,540	1,802	-8,561	10,799	0,0430	-0,204	0,258
4,560	1,634	-8,325	10,799	0,0390	-0,199	0,258
4,580	1,469	-8,129	10,799	0,0351	-0,194	0,258
