Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
13.000	152.05	99.26	52.79	1.750	-3.189	-265.465	0.0418	-0.076	-6.338	26.9
13.050				1.184	-15.865	-111.998	0.0283	-0.379	-2.674	
13.100				0.163	-14.389	169.175	0.0039	-0.344	4.039	26.8
13.150				-0.254	1.052	288.398	-0.0061	0.025	6.885	
13.200	153.79	99.26	54.52	0.269	14.451	135.089	0.0064	0.345	3.225	26.8
13.250				1.191	14.561	-109.956	0.0284	0.348	-2.625	
13.300				1.725	3.456	-258.867	0.0412	0.082	-6.180	26.8
13.350				1.536	-11.325	-207.031	0.0367	-0.270	-4.942	
13.400	104.27	99.26	5.01	0.592	-17.247	48.066	0.0141	-0.412	1.148	26.8
13.450				-0.188	-6.519	270.963	-0.0045	-0.156	6.469	
13.500				-0.060	9.849	227.766	-0.0014	0.235	5.437	26.8
13.550				0.796	16.258	-5.498	0.0190	0.388	-0.131	
13.600	169.30	99.26	70.04	1.566	9.299	-212.372	0.0374	0.222	-5.070	26.7
13.650				1.726	-4.979	-259.025	0.0412	-0.119	-6.184	
13.700				1.068	-16.603	-80.896	0.0255	-0.396	-1.931	26.7
13.750				0.066	-13.069	197.135	0.0016	-0.312	4.706	
13.800	102.09	99.26	2.83	-0.239	3.110	283.372	-0.0057	0.074	6.765	26.7
13.850				0.377	15.268	105.872	0.0090	0.364	2.527	
13.900				1.288	13.697	-136.188	0.0308	0.327	-3.251	26.7
13.950				1.747	1.649	-264.836	0.0417	0.039	-6.323	
14.000	121.61	99.26	22.35	1.453	-12.786	-184.255	0.0347	-0.305	-4.399	26.7
14.050				0.468	-16.776	82.153	0.0112	-0.401	1.961	
14.100				-0.225	-4.571	279.759	-0.0054	-0.109	6.679	26.6
14.150				0.011	11.200	206.403	2.6250E-4	0.267	4.927	
14.200	171.67	99.26	72.41	0.895	16.069	-32.044	0.0214	0.384	-0.765	26.6
14.250				1.618	7.995	-228.237	0.0386	0.191	-5.449	
14.300				1.695	-6.754	-251.171	0.0405	-0.161	-5.996	26.6
14.350				0.942	-17.122	-47.752	0.0225	-0.409	-1.140	
14.400	97.63	99.26	-1.63	-0.017	-11.530	221.011	-4.1250E-4	-0.275	5.276	26.6
14.450				-0.210	4.979	273.005	-0.0050	0.119	6.518	
14.500				0.481	15.771	77.597	0.0115	0.377	1.852	26.6
14.550				1.367	12.739	-157.237	0.0326	0.304	-3.754	
14.600	146.22	99.26	46.96	1.755	0.047	-267.350	0.0419	0.001	-6.382	26.5
14.650				1.371	-13.996	-162.106	0.0327	-0.334	-3.870	
14.700				0.355	-16.164	114.040	0.0085	-0.386	2.723	26.5
14.750				-0.245	-2.592	286.828	-0.0058	-0.062	6.847	
14.800	119.76	99.26	20.50	0.096	12.519	182.998	0.0023	0.299	4.369	26.5
14.850				1.007	15.708	-60.947	0.0240	0.375	-1.455	
14.900				1.667	6.425	-242.060	0.0398	0.153	-5.779	26.5
14.950				1.649	-8.498	-238.290	0.0394	-0.203	-5.689	
15.000	101.94	99.26	2.68	0.817	-17.404	-13.195	0.0195	-0.416	-0.315	26.5
15.050				-0.091	-9.817	243.317	-0.0022	-0.234	5.809	
15.100				-0.165	6.927	259.967	-0.0039	0.165	6.206	26.4
15.150				0.602	16.179	46.181	0.0144	0.386	1.103	
15.200	166.06	99.26	66.79	1.453	11.545	-181.270	0.0347	0.276	-4.328	26.4
15.250				1.756	-1.948	-267.664	0.0419	-0.047	-6.390	
15.300				1.258	-15.221	-131.947	0.0300	-0.363	-3.150	26.4
15.350				0.234	-15.142	148.912	0.0056	-0.362	3.555	
15.400	104.91	99.26	5.65	-0.256	-0.330	289.498	-0.0061	-0.008	6.911	26.4
15.450				0.201	13.807	153.938	0.0048	0.330	3.675	
15.500				1.125	15.064	-92.206	0.0269	0.360	-2.201	26.4
15.550				1.707	4.587	-253.213	0.0408	0.109	-6.045	
15.600	116.28	99.26	17.02	1.583	-10.257	-219.597	0.0378	-0.245	-5.242	26.3
15.650				0.682	-17.373	23.562	0.0163	-0.415	0.562	
15.700				-0.154	-7.901	259.810	-0.0037	-0.189	6.203	26.3
15.750				-0.108	8.608	241.746	-0.0026	0.206	5.771	
15.800	146.87	99.27	47.61	0.707	16.273	17.593	0.0169	0.388	0.420	26.3
15.850				1.519	10.367	-199.805	0.0363	0.247	-4.770	
15.900				1.744	-3.707	-264.679	0.0416	-0.089	-6.319	26.3
15.950				1.148	-16.101	-102.887	0.0274	-0.384	-2.456	
16.000	98.11	99.26	-1.15	0.134	-13.996	177.186	0.0032	-0.334	4.230	26.3
16.050				-0.251	1.618	286.356	-0.0060	0.039	6.836	
16.100				0.295	14.640	127.235	0.0071	0.349	3.038	26.2
16.150				1.213	14.341	-115.454	0.0290	0.342	-2.756	
16.200	172.02	99.27	72.75	1.729	3.094	-259.810	0.0413	0.074	-6.202	26.2
16.250				1.522	-11.640	-202.947	0.0363	-0.278	-4.845	
16.300				0.565	-17.200	55.449	0.0135	-0.411	1.324	26.2
16.350				-0.198	-6.095	273.633	-0.0047	-0.145	6.533	
16.400	124.56	99.26	25.29	-0.044	10.163	223.210	-0.0010	0.243	5.329	26.2
16.450				0.818	16.226	-11.467	0.0195	0.387	-0.274	
16.500				1.579	9.016	-216.142	0.0377	0.215	-5.160	26.2
16.550				1.720	-5.388	-257.768	0.0411	-0.129	-6.154	
16.600	100.05	99.26	0.79	1.040	-16.760	-73.356	0.0248	-0.400	-1.751	26.1
16.650				0.044	-12.723	203.732	0.0011	-0.304	4.864	
