Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2
Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
5.950				1.398	-13.587	-169.646	0.0334	-0.324	-4.050		5.950				-0.090	-10.414	242.688	-0.0021	-0.249	5.794	
6.000	97.36	99.26	-1.90	0.394	-16.368	102.416	0.0094	-0.391	2.445	28.0	6.000	129.41	99.26	30.14	-0.190	6.880	270.491	-0.0045	0.164	6.457	-26.5
6.050				-0.239	-3.346	283.215	-0.0057	-0.080	6.761		6.050				0.598	16.635	43.668	0.0143	0.397	1.043	
6.100				0.060	11.954	191.951	0.0014	0.285	4.583	28.0	6.100				1.473	11.247	-199.648	0.0352	0.269	-4.766	-26.4
6.150				0.957	15.849	-48.066	0.0228	0.378	-1.148		6.150				1.723	-3.330	-273.319	0.0411	-0.080	-6.525	
6.200	171.74	99.27	72.48	1.645	7.147	-235.620	0.0393	0.171	-5.625	28.0	6.200	125.81	99.26	26.55	1.140	-16.085	-107.757	0.0272	-0.384	-2.572	-26.4
6.250				1.671	-7.713	-244.730	0.0399	-0.184	-5.842		6.250				0.115	-14.106	181.741	0.0027	-0.337	4.339	
6.300				0.873	-17.326	-29.060	0.0209	-0.414	-0.694	28.0	6.300				-0.270	2.089	294.996	-0.0065	0.050	7.042	-26.4
6.350				-0.061	-10.619	233.421	-0.0015	-0.254	5.573		6.350				0.324	15.394	119.538	0.0077	0.368	2.854	
6.400	122.74	99.26	23.48	-0.188	6.016	266.093	-0.0045	0.144	6.353	28.0	6.400	178.87	99.27	79.60	1.269	14.043	-140.901	0.0303	0.335	-3.364	-26.3
6.450				0.540	15.991	61.418	0.0129	0.382	1.466		6.450				1.728	1.304	-273.947	0.0412	0.031	-6.540	
6.500				1.411	12.158	-169.489	0.0337	0.290	-4.046	28.0	6.500				1.400	-13.352	-179.071	0.0334	-0.319	-4.275	-26.3
6.550				1.756	-0.958	-268.449	0.0419	-0.023	-6.409		6.550				0.393	-16.603	101.474	0.0094	-0.396	2.422	
6.600	130.46	99.26	31.20	1.315	-14.687	-147.184	0.0314	-0.351	-3.514	28.0	6.600	99.75	99.26	0.49	-0.261	-3.204	294.053	-0.0062	-0.077	7.020	-26.3
6.650				0.287	-15.677	133.204	0.0069	-0.374	3.180		6.650				0.072	12.802	192.109	0.0017	0.306	4.586	
6.700				-0.253	-1.367	288.713	-0.0060	-0.033	6.893	27.9	6.700				1.019	16.006	-71.943	0.0243	0.382	-1.718	-26.2
6.750				0.151	13.195	167.447	0.0036	0.315	3.997		6.750				1.673	5.608	-258.082	0.0399	0.134	-6.161	
6.800	167.82	99.26	68.55	1.067	15.378	-76.655	0.0255	0.367	-1.830	27.9	6.800	138.63	99.26	39.37	1.580	-9.802	-230.750	0.0377	-0.234	-5.509	-26.2
6.850				1.689	5.529	-247.244	0.0403	0.132	-5.903		6.850				0.693	-17.467	16.650	0.0165	-0.417	0.397	
6.900				1.619	-9.346	-229.651	0.0387	-0.223	-5.483	27.9	6.900				-0.167	-8.137	265.622	-0.0040	-0.194	6.341	-26.2
6.950				0.754	-17.436	4.241	0.0180	-0.416	0.101		6.950				-0.121	9.095	248.971	-0.0029	0.217	5.944	
7.000	106.41	99.26	7.15	-0.124	-8.922	252.113	-0.0030	-0.213	6.019	27.9	7.000	174.76	99.26	75.50	0.743	16.760	4.241	0.0177	0.400	0.101	-26.1
7.050				-0.138	7.775	251.799	-0.0033	0.186	6.011		7.050				1.555	9.519	-223.210	0.0371	0.227	-5.329	
7.100				0.653	16.258	32.044	0.0156	0.388	0.765	27.9	7.100				1.695	-5.561	-264.208	0.0405	-0.133	-6.308	-26.1
7.150				1.488	10.980	-190.538	0.0355	0.262	-4.549		7.150				0.999	-16.902	-68.330	0.0238	-0.404	-1.631	
7.200	154.55	99.26	55.29	1.751	-2.796	-266.250	0.0418	-0.067	-6.356	27.9	7.200	99.83	99.25	0.57	0.005	-12.394	214.728	1.1250E-4	-0.296	5.126	-26.0
7.250				1.208	-15.645	-118.281	0.0288	-0.373	-2.824		7.250				-0.240	4.571	285.728	-0.0057	0.109	6.821	
7.300				0.187	-14.624	161.949	0.0045	-0.349	3.866	27.9	7.300				0.462	16.179	81.524	0.0110	0.386	1.946	-26.0
