Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²)
9,300;-4,975;15,519;53,250;-0,1188;0,371;1,271;9,300;-6,487;4,618;75,712;-0,1549;0,110;1,807
9,350;-4,133;17,954;43,511;-0,0987;0,429;1,039;9,350;-6,162;8,294;70,529;-0,1471;0,198;1,684
9,400;-3,179;19,871;31,573;-0,0759;0,474;0,754;9,400;-5,658;11,671;63,617;-0,1351;0,279;1,519
9,450;-2,146;21,112;18,378;-0,0512;0,504;0,439;9,450;-4,995;14,656;55,135;-0,1193;0,350;1,316
9,500;-1,068;21,708;5,341;-0,0255;0,518;0,127;9,500;-4,192;17,185;45,553;-0,1001;0,410;1,087
9,550;0,025;21,646;-7,697;6,0000E-4;0,517;-0,184;9,550;-3,277;19,211;34,872;-0,0782;0,459;0,832
9,600;1,096;20,939;-19,478;0,0262;0,500;-0,465;9,600;-2,271;20,672;21,991;-0,0542;0,494;0,525
9,650;2,119;19,698;-30,316;0,0506;0,470;-0,724;9,650;-1,210;21,410;8,011;-0,0289;0,511;0,191
9,700;3,066;17,907;-41,155;0,0732;0,427;-0,983;9,700;-0,130;21,473;-4,555;-0,0031;0,513;-0,109
9,750;3,910;15,582;-50,737;0,0933;0,372;-1,211;9,750;0,938;20,954;-16,179;0,0224;0,500;-0,386
9,800;4,624;12,833;-58,277;0,1104;0,306;-1,391;9,800;1,965;19,855;-27,489;0,0469;0,474;-0,656
9,850;5,193;9,755;-64,089;0,1240;0,233;-1,530;9,850;2,923;18,206;-38,013;0,0698;0,435;-0,907
9,900;5,600;6,425;-67,858;0,1337;0,153;-1,620;9,900;3,786;16,054;-47,909;0,0904;0,383;-1,144
9,950;5,836;2,969;-69,115;0,1393;0,071;-1,650;9,950;4,529;13,415;-56,392;0,1081;0,320;-1,346
10,000;5,897;-0,487;-67,701;0,1408;-0,012;-1,616;10,000;5,127;10,414;-62,361;0,1224;0,249;-1,489
