Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
11,300	0,27	0,05	0,54
11,320	0,27	0,06	0,54
11,340	0,27	0,07	0,43
11,360	0,28	0,08	0,43
11,380	0,28	0,09	0,43
11,400	0,28	0,09	0,54
11,420	0,28	0,11	0,55
11,440	0,28	0,12	0,32
11,460	0,29	0,12	0,31
11,480	0,29	0,13	0,54
11,500	0,29	0,14	0,44
11,520	0,29	0,15	0,21
11,540	0,30	0,15	0,32
11,560	0,30	0,16	0,43
11,580	0,30	0,17	0,33
11,600	0,31	0,17	0,21
11,620	0,31	0,18	0,22
11,640	0,31	0,18	0,11
11,660	0,32	0,18	0,10
11,680	0,32	0,18	0,32
11,700	0,32	0,19	0,33
11,720	0,33	0,20	0,11
11,740	0,33	0,20	3,47E-14
11,760	0,34	0,20	3,47E-14
11,780	0,34	0,20	-2,19E-13
11,800	0,34	0,20	-2,19E-13
11,820	0,35	0,20	2,19E-13
11,840	0,35	0,20	2,19E-13
11,860	0,36	0,20	0,01
11,880	0,36	0,20	-0,11
11,900	0,36	0,19	-0,11
11,920	0,37	0,19	-0,10
11,940	0,37	0,19	-0,22
11,960	0,38	0,18	-0,10
11,980	0,38	0,19	-0,21
12,000	0,38	0,18	-0,33
12,020	0,39	0,17	-0,21
12,040	0,39	0,17	-0,32
12,060	0,39	0,16	-0,32
12,080	0,40	0,16	-0,32
12,100	0,40	0,15	-0,43
12,120	0,40	0,14	-0,43
12,140	0,40	0,13	-0,44
12,160	0,41	0,12	-0,21
12,180	0,41	0,12	-0,20
12,200	0,41	0,11	-0,54
12,220	0,41	0,10	-0,54
12,240	0,42	0,09	-0,43
12,260	0,42	0,08	-0,43
12,280	0,42	0,07	-0,42
12,300	0,42	0,07	-0,54
12,320	0,42	0,05	-0,55
12,340	0,42	0,04	-0,32
12,360	0,42	0,04	-0,42
12,380	0,42	0,03	-0,65
12,400	0,42	0,01	-0,54
12,420	0,42	0,01	-0,54
12,440	0,42	-0,01	-0,54
12,460	0,42	-0,02	-0,42
