Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
18,100	-0,055	1,178	-0,942	-0,0013	0,028	-0,022
18,150	0,003	1,115	-1,414	7,5000E-5	0,027	-0,034
18,200	0,057	1,037	-1,728	0,0013	0,025	-0,041
18,250	0,107	0,942	-1,885	0,0025	0,022	-0,045
18,300	0,151	0,848	-1,885	0,0036	0,020	-0,045
18,350	0,192	0,754	-2,199	0,0046	0,018	-0,052
18,400	0,226	0,628	-2,513	0,0054	0,015	-0,060
18,450	0,254	0,503	-2,670	0,0061	0,012	-0,064
18,500	0,276	0,361	-2,827	0,0066	0,009	-0,068
18,550	0,291	0,220	-2,827	0,0069	0,005	-0,067
18,600	0,298	0,079	-2,356	0,0071	0,002	-0,056
18,650	0,298	-0,016	-1,257	0,0071	-3,750E-4	-0,030
18,700	0,297	-0,047	-0,471	0,0071	-0,001	-0,011
18,750	0,294	-0,063	-0,157	0,0070	-0,001	-0,004
18,800	0,291	-0,063	-0,157	0,0069	-0,001	-0,004
18,850	0,287	-0,079	-0,314	0,0069	-0,002	-0,008
18,900	0,283	-0,094	-0,314	0,0067	-0,002	-0,008
18,950	0,278	-0,110	-0,471	0,0066	-0,003	-0,011
19,000	0,272	-0,141	-0,628	0,0065	-0,003	-0,015
19,050	0,264	-0,173	-0,471	0,0063	-0,004	-0,011
19,100	0,254	-0,188	-0,471	0,0061	-0,004	-0,011
19,150	0,245	-0,220	-0,628	0,0058	-0,005	-0,015
19,200	0,232	-0,251	-0,471	0,0055	-0,006	-0,011
19,250	0,220	-0,267	-0,314	0,0052	-0,006	-0,008
19,300	0,206	-0,283	9,492E-14	0,0049	-0,007	2,264E-15
19,350	0,192	-0,267	0,157	0,0046	-0,006	0,004
19,400	0,179	-0,267	-0,157	0,0043	-0,006	-0,004
19,450	0,165	-0,283	-0,157	0,0039	-0,007	-0,004
19,500	0,151	-0,283	-1,016E-13	0,0036	-0,007	-2,403E-15
19,550	0,137	-0,283	-0,157	0,0033	-0,007	-0,004
19,600	0,123	-0,298	-0,471	0,0029	-0,007	-0,011
19,650	0,107	-0,330	-0,628	0,0025	-0,008	-0,015
19,700	0,090	-0,361	-0,471	0,0021	-0,009	-0,011
19,750	0,071	-0,377	-0,314	0,0017	-0,009	-0,008
19,800	0,052	-0,393	-0,628	0,0012	-0,009	-0,015
19,850	0,031	-0,440	-0,785	7,5000E-4	-0,010	-0,019
19,900	0,008	-0,471	-0,628	1,8750E-4	-0,011	-0,015
19,950	-0,016	-0,503	-0,785	-3,7500E-4	-0,012	-0,019
20,000	-0,042	-0,550	-0,785	-0,0010	-0,013	-0,019
20,050	-0,071	-0,581	-0,785	-0,0017	-0,014	-0,019
