Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
2,910;0,096;0,000;3,927;0,0023;0,000;0,094;;
2,920;0,096;0,079;3,927;0,0023;0,002;0,094;;
2,930;0,097;0,079;-3,927;0,0023;0,002;-0,094;;
2,940;0,097;0,000;-1,749E-13;0,0023;0,000;-4,163E-15;;
2,950;0,097;0,079;3,927;0,0023;0,002;0,094;0,1;0,07
2,960;0,099;0,079;-3,927;0,0024;0,002;-0,094;;
2,970;0,099;0,000;1,749E-13;0,0024;0,000;4,163E-15;;
2,980;0,099;0,079;3,927;0,0024;0,002;0,094;;
2,990;0,101;0,079;-3,927;0,0024;0,002;-0,094;;
3,000;0,101;0,000;-3,927;0,0024;0,000;-0,094;0,1;0,07
3,010;0,101;0,000;0,000;0,0024;0,000;0,000;;
3,020;0,101;0,000;3,927;0,0024;0,000;0,094;;
3,030;0,101;0,079;3,927;0,0024;0,002;0,094;;
3,040;0,102;0,079;-3,927;0,0024;0,002;-0,094;;
3,050;0,102;0,000;-3,927;0,0024;0,000;-0,094;0,1;0,07
3,060;0,102;0,000;0,000;0,0024;0,000;0,000;;
3,070;0,102;0,000;0,000;0,0024;0,000;0,000;;
3,080;0,102;0,000;0,000;0,0024;0,000;0,000;;
3,090;0,102;0,000;3,927;0,0024;0,000;0,094;;
3,100;0,102;0,079;3,927;0,0024;0,002;0,094;0,1;0,07
3,110;0,104;0,079;-3,927;0,0025;0,002;-0,094;;
3,120;0,104;0,000;-3,927;0,0025;0,000;-0,094;;
3,130;0,104;0,000;0,000;0,0025;0,000;0,000;;
3,140;0,104;0,000;3,927;0,0025;0,000;0,094;;
3,150;0,104;0,079;3,927;0,0025;0,002;0,094;0,1;0,06
3,160;0,105;0,079;-3,927;0,0025;0,002;-0,094;;
3,170;0,105;0,000;-3,927;0,0025;0,000;-0,094;;
3,180;0,105;0,000;0,000;0,0025;0,000;0,000;;
3,190;0,105;0,000;0,000;0,0025;0,000;0,000;;
3,200;0,105;0,000;0,000;0,0025;0,000;0,000;0,1;0,06
3,210;0,105;0,000;0,000;0,0025;0,000;0,000;;
3,220;0,105;0,000;3,927;0,0025;0,000;0,094;;
3,230;0,105;0,079;3,927;0,0025;0,002;0,094;;
3,240;0,107;0,079;-3,927;0,0026;0,002;-0,094;;
3,250;0,107;0,000;-3,927;0,0026;0,000;-0,094;0,1;0,06
3,260;0,107;0,000;0,000;0,0026;0,000;0,000;;
3,270;0,107;0,000;0,000;0,0026;0,000;0,000;;
3,280;0,107;0,000;0,000;0,0026;0,000;0,000;;
3,290;0,107;0,000;3,927;0,0026;0,000;0,094;;
3,300;0,107;0,079;3,927;0,0026;0,002;0,094;0,1;0,06
3,310;0,108;0,079;-3,927;0,0026;0,002;-0,094;;
3,320;0,108;0,000;-1,749E-13;0,0026;0,000;-4,163E-15;;
3,330;0,108;0,079;3,927;0,0026;0,002;0,094;;
3,340;0,110;0,079;-3,927;0,0026;0,002;-0,094;;
3,350;0,110;0,000;-3,927;0,0026;0,000;-0,094;0,1;0,06
3,360;0,110;0,000;3,927;0,0026;0,000;0,094;;
3,370;0,110;0,079;3,927;0,0026;0,002;0,094;;
3,380;0,112;0,079;-2,616E-13;0,0027;0,002;-6,245E-15;;
3,390;0,112;0,079;2,616E-13;0,0027;0,002;6,245E-15;;
3,400;0,113;0,079;-3,927;0,0027;0,002;-0,094;0,1;0,06
3,410;0,113;0,000;0,000;0,0027;0,000;0,000;;
3,420;0,113;0,079;3,927;0,0027;0,002;0,094;;
3,430;0,115;0,079;-3,927;0,0027;0,002;-0,094;;
3,440;0,115;0,000;0,000;0,0027;0,000;0,000;;
3,450;0,115;0,079;3,927;0,0027;0,002;0,094;0,1;0,06
3,460;0,116;0,079;-3,927;0,0028;0,002;-0,094;;
3,470;0,116;0,000;-3,927;0,0028;0,000;-0,094;;
3,480;0,116;0,000;3,927;0,0028;0,000;0,094;;
3,490;0,116;0,079;3,927;0,0028;0,002;0,094;;
3,500;0,118;0,079;-3,927;0,0028;0,002;-0,094;0,1;0,06
3,510;0,118;0,000;0,000;0,0028;0,000;0,000;;
3,520;0,118;0,079;3,927;0,0028;0,002;0,094;;
3,530;0,119;0,079;-3,927;0,0029;0,002;-0,094;;
3,540;0,119;0,000;-3,927;0,0029;0,000;-0,094;;
3,550;0,119;0,000;0,000;0,0029;0,000;0,000;0,1;0,06
3,560;0,119;0,000;0,000;0,0029;0,000;0,000;;
3,570;0,119;0,000;3,927;0,0029;0,000;0,094;;
3,580;0,119;0,079;3,927;0,0029;0,002;0,094;;
3,590;0,121;0,079;-3,927;0,0029;0,002;-0,094;;
3,600;0,121;0,000;-3,927;0,0029;0,000;-0,094;0,1;0,06
3,610;0,121;0,000;3,927;0,0029;0,000;0,094;;
3,620;0,121;0,079;3,927;0,0029;0,002;0,094;;
3,630;0,123;0,079;-3,927;0,0029;0,002;-0,094;;
3,640;0,123;0,000;-3,927;0,0029;0,000;-0,094;;
3,650;0,123;0,000;0,000;0,0029;0,000;0,000;0,1;0,06
3,660;0,123;0,000;0,000;0,0029;0,000;0,000;;
3,670;0,123;0,000;3,927;0,0029;0,000;0,094;;
3,680;0,123;0,079;3,927;0,0029;0,002;0,094;;
3,690;0,124;0,079;-3,927;0,0030;0,002;-0,094;;
3,700;0,124;0,000;-3,927;0,0030;0,000;-0,094;0,1;0,06
3,710;0,124;0,000;0,000;0,0030;0,000;0,000;;
3,720;0,124;0,000;0,000;0,0030;0,000;0,000;;
3,730;0,124;0,000;0,000;0,0030;0,000;0,000;;
3,740;0,124;0,000;0,000;0,0030;0,000;0,000;;
3,750;0,124;0,000;0,000;0,0030;0,000;0,000;0,1;0,06
3,760;0,124;0,000;3,927;0,0030;0,000;0,094;;
3,770;0,124;0,079;3,927;0,0030;0,002;0,094;;
3,780;0,126;0,079;-3,927;0,0030;0,002;-0,094;;
3,790;0,126;0,000;-3,927;0,0030;0,000;-0,094;;
3,800;0,126;0,000;0,000;0,0030;0,000;0,000;0,1;0,06
3,810;0,126;0,000;0,000;0,0030;0,000;0,000;;
3,820;0,126;0,000;0,000;0,0030;0,000;0,000;;
3,830;0,126;0,000;3,927;0,0030;0,000;0,094;;
3,840;0,126;0,079;3,927;0,0030;0,002;0,094;;
3,850;0,127;0,079;-3,927;0,0030;0,002;-0,094;0,1;0,06
